itemName(),action,agent,client,component,duration,ip,map,time,user
2011-10-06T16:55:18.577_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:18.577,
2011-10-06T16:55:18.624_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:18.624,
2011-10-06T16:55:18.686_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:18.686,
2011-10-06T16:55:18.733_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:18.733,
2011-10-06T16:55:18.780_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:18.780,
2011-10-06T16:55:18.827_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:18.827,
2011-10-06T16:55:18.874_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:18.874,
2011-10-06T16:55:18.920_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:18.920,
2011-10-06T16:55:18.967_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:18.967,
2011-10-06T16:55:19.014_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.014,
2011-10-06T16:55:19.061_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.061,
2011-10-06T16:55:19.108_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.108,
2011-10-06T16:55:19.154_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.154,
2011-10-06T16:55:19.201_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.201,
2011-10-06T16:55:19.248_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.248,
2011-10-06T16:55:19.295_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.295,
2011-10-06T16:55:19.342_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.342,
2011-10-06T16:55:19.388_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.388,
2011-10-06T16:55:19.435_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.435,
2011-10-06T16:55:19.482_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.482,
2011-10-06T16:55:19.529_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.529,
2011-10-06T16:55:19.576_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.576,
2011-10-06T16:55:19.638_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.638,
2011-10-06T16:55:19.685_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.685,
2011-10-06T16:55:19.732_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.732,
2011-10-06T16:55:19.778_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.778,
2011-10-06T16:55:19.825_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.825,
2011-10-06T16:55:19.872_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.872,
2011-10-06T16:55:19.919_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.919,
2011-10-06T16:55:19.966_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:19.966,
2011-10-06T16:55:20.012_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:20.012,
2011-10-06T16:55:20.059_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:20.059,
2011-10-06T16:55:20.106_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:20.106,
2011-10-06T16:55:20.153_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:20.153,
2011-10-06T16:55:20.200_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:20.200,
2011-10-06T16:55:20.246_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:20.246,
2011-10-06T16:55:20.293_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:20.293,
2011-10-06T16:55:20.340_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:20.340,
2011-10-06T16:55:20.387_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:20.387,
2011-10-06T16:55:20.434_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:20.434,
2011-10-06T16:55:20.480_4.53.4.66,adjustValues,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:20.480,
2011-10-06T16:55:21.682_4.53.4.66,startAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:21.682,
2011-10-06T16:55:37.080_4.53.4.66,stopAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:37.080,
2011-10-06T16:55:38.140_4.53.4.66,startAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:55:38.140,
2011-10-06T16:56:03.460_4.53.4.66,startAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:56:03.460,
2011-10-06T16:56:46.019_4.53.4.66,stopAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:56:46.019,
2011-10-06T16:56:46.986_4.53.4.66,startAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:56:46.986,
2011-10-06T16:56:48.983_4.53.4.66,stopAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:56:48.983,
2011-10-06T16:56:51.308_4.53.4.66,dragThumb,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,2,4.53.4.66,11,2011-10-06T16:56:51.308,
2011-10-06T16:57:00.793_4.53.4.66,startAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T16:57:00.793,
2011-10-06T17:05:41.482_206.136.32.237,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-06T17:05:41.482,
2011-10-06T17:05:42.808_206.136.32.237,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-06T17:05:42.808,
2011-10-06T17:05:52.808_4.53.4.66,stopAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T17:05:52.808,
2011-10-06T17:05:54.883_4.53.4.66,startAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T17:05:54.883,
2011-10-06T17:06:03.697_206.136.32.237,dragThumb,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,94,206.136.32.237,11,2011-10-06T17:06:03.697,
2011-10-06T17:27:54.141_206.136.32.237,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-06T17:27:54.141,
2011-10-06T17:28:00.521_206.136.32.237,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-06T17:28:00.521,
2011-10-06T17:44:04.473_4.53.4.66,startAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T17:44:04.473,
2011-10-06T17:44:27.546_4.53.4.66,stopAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T17:44:27.546,
2011-10-06T17:44:31.571_4.53.4.66,startAnimation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.202 Safari/535.1",,seasonalViz,,4.53.4.66,11,2011-10-06T17:44:31.571,
2011-10-06T18:40:50.870_206.136.32.237,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-06T18:40:50.870,
2011-10-06T18:41:01.026_206.136.32.237,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-06T18:41:01.026,
2011-10-06T18:41:03.023_206.136.32.237,dragThumb,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,12,206.136.32.237,11,2011-10-06T18:41:03.023,
2011-10-06T18:41:10.559_206.136.32.237,dragThumb,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,40,206.136.32.237,11,2011-10-06T18:41:10.559,
2011-10-06T18:41:33.227_206.136.32.237,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-06T18:41:33.227,
2011-10-06T18:41:38.172_206.136.32.237,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-06T18:41:38.172,
2011-10-06T18:42:00.606_206.136.32.237,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-06T18:42:00.606,
2011-10-06T18:42:06.113_206.136.32.237,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-06T18:42:06.113,
2011-10-07T18:20:38.397_206.136.32.237,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-07T18:20:38.397,1
2011-10-07T18:20:40.659_206.136.32.237,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.237,11,2011-10-07T18:20:40.659,1
2011-10-14T19:33:23.641_206.136.32.221,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.221,-1,2011-10-14T19:33:23.641,
2011-10-14T19:33:24.249_206.136.32.221,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.221,-1,2011-10-14T19:33:24.249,
2011-10-14T19:38:12.987_206.136.32.221,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.221,11,2011-10-14T19:38:12.987,
2011-10-14T19:38:25.327_206.136.32.221,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.221,11,2011-10-14T19:38:25.327,
2011-10-14T19:38:31.489_206.136.32.221,dragThumb,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,34,206.136.32.221,11,2011-10-14T19:38:31.489,
2011-10-14T19:39:52.863_206.136.32.221,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.221,11,2011-10-14T19:39:52.863,
2011-10-14T19:39:53.175_206.136.32.221,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.221,11,2011-10-14T19:39:53.175,
2011-10-14T19:40:48.308_206.136.32.221,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.221,11,2011-10-14T19:40:48.308,
2011-10-14T19:40:52.270_206.136.32.221,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.221,11,2011-10-14T19:40:52.270,
2011-10-14T19:48:49.589_206.136.32.221,stopAnimation|startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,,seasonalViz,,206.136.32.221,11,2011-10-14T19:48:49.589,
2011-10-17T14:56:54.243_10.212.107.234,startAnimation,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.186 Safari/535.1",affbc3be-0d3b-4ef2-9877-1210ee5edd6d,seasonalViz,,10.212.107.234,11,2011-10-17T14:56:54.243,
2011-10-17T14:58:39.668_10.212.107.234,startAnimation,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.186 Safari/535.1",affbc3be-0d3b-4ef2-9877-1210ee5edd6d,seasonalViz,,10.212.107.234,12,2011-10-17T14:58:39.668,
2011-10-21T15:39:18.520_10.212.107.234,startAnimation,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",643464e1-d283-4d34-a654-18a659763186,seasonalViz,,10.212.107.234,-1,2011-10-21T15:39:18.520,1
2011-10-21T15:39:20.345_10.212.107.234,stopAnimation,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",b04b7004-eddd-4eef-bcbe-3346f7591192,seasonalViz,,10.212.107.234,-1,2011-10-21T15:39:20.345,1
2011-10-24T16:10:07.288_10.212.107.234,dragThumb,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),c7fe69e6-a0c2-4fb5-a95a-70f9a3cdf6b7,seasonalViz,43,10.212.107.234,12,2011-10-24T16:10:07.288,
2011-10-24T16:11:08.924_10.212.107.234,dragThumb,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),c7fe69e6-a0c2-4fb5-a95a-70f9a3cdf6b7,seasonalViz,244,10.212.107.234,12,2011-10-24T16:11:08.924,
2011-10-26T17:10:27.047_10.212.107.234,startAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,b4ce4a26-4835-4173-8b01-2a262ab02b86,seasonalViz,,10.212.107.234,12,2011-10-26T17:10:27.047,
2011-10-26T17:10:30.463_10.212.107.234,stopAnimation,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,b4ce4a26-4835-4173-8b01-2a262ab02b86,seasonalViz,,10.212.107.234,12,2011-10-26T17:10:30.463,
2011-10-26T17:20:09.164_10.212.107.234,dragThumb,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,b4ce4a26-4835-4173-8b01-2a262ab02b86,seasonalViz,1,10.212.107.234,12,2011-10-26T17:20:09.164,
2011-11-03T19:14:44.061_10.244.166.27,dragThumb,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,0f7d7d77-84c4-4b3e-b9e5-e9549a00d9c3,seasonalViz,7,10.244.166.27,11,2011-11-03T19:14:44.061,
